Team,Player,Years,Avg,Year 1,Year 2,Year 3,Year 4,Year 5,Order,Sum Match,Max Check,Min Check,Text Order,,,,,,,,,,,
WAS,"Will Harris, RP WAS",2,1.5,,,,,,12,,,,18,,,,,,,,,,,
BOS,"Will Harris, RP WAS",2,1.07,,,,,,13,,,,6,,,,,,,,,,,
PHI,"Will Harris, RP WAS",2,0.9,,,,,,14,,,,5,,,,,,,,,,,
CLE,"Will Harris, RP WAS",1,0.8,,,,,,15,,,,10,,,,,,,,,,,
ARZ,"Will Harris, RP WAS",1,0.7,,,,,,16,,,,2,,,,,,,,,,,
NYM,"Will Harris, RP WAS",1,0.7,,,,,,17,,,,11,,,,,,,,,,,
DET,"Will Harris, RP WAS",1,0.5,,,,,,18,,,,1,,,,,,,,,,,
SD,"Wilson Ramos, C NYM",1,2.67,,,,,,19,,,,16,,1.525714286,2.67,1.75,52.57%,,"Wilson Ramos, C NYM: 52.57% (2.67 vs. 1.75)",,,,
PHI,"Wilson Ramos, C NYM",1,1.75,,,,,,20,,,,5,,,,,,,,,,,
BOS,"Wilson Ramos, C NYM",1,1.19,,,,,,21,,,,6,,,,,,,,,,,
DET,"Wilson Ramos, C NYM",1,0.75,,,,,,22,,,,1,,,,,,,,,,,
DET,"Yoenis Cespedes, OF NYM",2,2.5,2.4,2.6,,,,22,0,0,0,1,,1,2.50,2.50,0.00%,,"Yoenis Cespedes, OF NYM: 0.00% (2.50 vs. 2.50)",,,,
NYM,"Yoenis Cespedes, OF NYM",2,2.5,,,,,,23,,,,11,,,,,,,,,,,
WAS,"Yoenis Cespedes, OF NYM",1,2,,,,,,24,,,,18,,,,,,,,,,,
ARZ,"Yoenis Cespedes, OF NYM",1,0.6,,,,,,25,,,,2,,,,,,,,,,,
